"Date","Close.Last","Company"
2023-03-30,207.84,"META"
2023-03-29,205.35,"META"
2023-03-28,200.68,"META"
2023-03-27,202.84,"META"
2023-03-24,206.01,"META"
2023-03-23,204.28,"META"
2023-03-22,199.81,"META"
2023-03-21,202.16,"META"
2023-03-20,197.81,"META"
2023-03-17,195.61,"META"
2023-03-16,204.93,"META"
2023-03-15,197.75,"META"
2023-03-14,194.02,"META"
2023-03-13,180.9,"META"
2023-03-10,179.51,"META"
2023-03-09,181.69,"META"
2023-03-08,184.97,"META"
2023-03-07,184.51,"META"
2023-03-06,184.9,"META"
2023-03-03,185.25,"META"
2023-03-02,174.53,"META"
2023-03-01,173.42,"META"
2023-02-28,174.94,"META"
2023-02-27,169.54,"META"
2023-02-24,170.39,"META"
2023-02-23,172.04,"META"
2023-02-22,171.12,"META"
2023-02-21,172.08,"META"
2023-02-17,172.88,"META"
2023-02-16,172.44,"META"
2023-02-15,177.16,"META"
2023-02-14,179.48,"META"
2023-02-13,179.43,"META"
2023-02-10,174.15,"META"
2023-02-09,177.92,"META"
2023-02-08,183.43,"META"
2023-02-07,191.62,"META"
2023-02-06,186.06,"META"
2023-02-03,186.53,"META"
2023-02-02,188.77,"META"
2023-02-01,153.12,"META"
2023-01-31,148.97,"META"
2023-01-30,147.06,"META"
2023-01-27,151.74,"META"
2023-01-26,147.3,"META"
2023-01-25,141.5,"META"
2023-01-24,143.14,"META"
2023-01-23,143.27,"META"
2023-01-20,139.37,"META"
2023-01-19,136.15,"META"
2023-01-18,133.02,"META"
2023-01-17,135.36,"META"
2023-01-13,136.98,"META"
2023-01-12,136.71,"META"
2023-01-11,132.89,"META"
2023-01-10,132.99,"META"
2023-01-09,129.47,"META"
2023-01-06,130.02,"META"
2023-01-05,126.94,"META"
2023-01-04,127.37,"META"
2023-01-03,124.74,"META"
2022-12-30,120.34,"META"
2022-12-29,120.26,"META"
2022-12-28,115.62,"META"
2022-12-27,116.88,"META"
2022-12-23,118.04,"META"
2022-12-22,117.12,"META"
2022-12-21,119.76,"META"
2022-12-20,117.09,"META"
2022-12-19,114.48,"META"
2022-12-16,119.43,"META"
2022-12-15,116.15,"META"
2022-12-14,121.59,"META"
2022-12-13,120.15,"META"
2022-12-12,114.71,"META"
2022-12-09,115.9,"META"
2022-12-08,115.33,"META"
2022-12-07,113.93,"META"
2022-12-06,114.12,"META"
2022-12-05,122.43,"META"
2022-12-02,123.49,"META"
2022-12-01,120.44,"META"
2022-11-30,118.1,"META"
2022-11-29,109.46,"META"
2022-11-28,108.78,"META"
2022-11-25,111.41,"META"
2022-11-23,112.24,"META"
2022-11-22,111.44,"META"
2022-11-21,109.86,"META"
2022-11-18,112.05,"META"
2022-11-17,111.45,"META"
2022-11-16,113.23,"META"
2022-11-15,117.08,"META"
2022-11-14,114.22,"META"
2022-11-11,113.02,"META"
2022-11-10,111.87,"META"
2022-11-09,101.47,"META"
2022-11-08,96.47,"META"
2022-11-07,96.72,"META"
2022-11-04,90.79,"META"
2022-11-03,88.91,"META"
2022-11-02,90.54,"META"
2022-11-01,95.2,"META"
2022-10-31,93.16,"META"
2022-10-28,99.2,"META"
2022-10-27,97.94,"META"
2022-10-26,129.82,"META"
2022-10-25,137.51,"META"
2022-10-24,129.72,"META"
2022-10-21,130.01,"META"
2022-10-20,131.53,"META"
2022-10-19,133.23,"META"
2022-10-18,132.8,"META"
2022-10-17,134.04,"META"
2022-10-14,126.76,"META"
2022-10-13,130.29,"META"
2022-10-12,127.5,"META"
2022-10-11,128.54,"META"
2022-10-10,133.79,"META"
2022-10-07,133.45,"META"
2022-10-06,139.07,"META"
2022-10-05,138.98,"META"
2022-10-04,140.28,"META"
2022-10-03,138.61,"META"
2022-09-30,135.68,"META"
2022-09-29,136.41,"META"
2022-09-28,141.61,"META"
2022-09-27,134.4,"META"
2022-09-26,136.37,"META"
2022-09-23,140.41,"META"
2022-09-22,142.82,"META"
2022-09-21,142.12,"META"
2022-09-20,146.09,"META"
2022-09-19,148.02,"META"
2022-09-16,146.29,"META"
2022-09-15,149.55,"META"
2022-09-14,151.47,"META"
2022-09-13,153.13,"META"
2022-09-12,168.96,"META"
2022-09-09,169.15,"META"
2022-09-08,162.06,"META"
2022-09-07,160.39,"META"
2022-09-06,158.54,"META"
2022-09-02,160.32,"META"
2022-09-01,165.36,"META"
2022-08-31,162.93,"META"
2022-08-30,157.16,"META"
2022-08-29,159.17,"META"
2022-08-26,161.78,"META"
2022-08-25,168.78,"META"
2022-08-24,163.26,"META"
2022-08-23,161.11,"META"
2022-08-22,163.05,"META"
2022-08-19,167.96,"META"
2022-08-18,174.66,"META"
2022-08-17,174.85,"META"
2022-08-16,179.47,"META"
2022-08-15,180.89,"META"
2022-08-12,180.5,"META"
2022-08-11,177.49,"META"
2022-08-10,178.34,"META"
2022-08-09,168.53,"META"
2022-08-08,170.25,"META"
2022-08-05,167.11,"META"
2022-08-04,170.57,"META"
2022-08-03,168.8,"META"
2022-08-02,160.19,"META"
2022-08-01,159.93,"META"
2022-07-29,159.1,"META"
2022-07-28,160.72,"META"
2022-07-27,169.58,"META"
2022-07-26,159.15,"META"
2022-07-25,166.65,"META"
2022-07-22,169.27,"META"
2022-07-21,183.17,"META"
2022-07-20,183.09,"META"
2022-07-19,175.78,"META"
2022-07-18,167.23,"META"
2022-07-15,164.7,"META"
2022-07-14,158.05,"META"
2022-07-13,163.49,"META"
2022-07-12,163.27,"META"
2022-07-11,162.88,"META"
2022-07-08,170.88,"META"
2022-07-07,172.19,"META"
2022-07-06,169.77,"META"
2022-07-05,168.19,"META"
2022-07-01,160.03,"META"
2022-06-30,161.25,"META"
2022-06-29,163.94,"META"
2022-06-28,160.68,"META"
2022-06-27,169.49,"META"
2022-06-24,170.16,"META"
2022-06-23,158.75,"META"
2022-06-22,155.85,"META"
2022-06-21,157.05,"META"
2022-06-17,163.74,"META"
2022-06-16,160.87,"META"
2022-06-15,169.35,"META"
2022-06-14,163.73,"META"
2022-06-13,164.26,"META"
2022-06-10,175.57,"META"
2022-06-09,184,"META"
2022-06-08,196.64,"META"
2022-06-07,195.65,"META"
2022-06-06,194.25,"META"
2022-06-03,190.78,"META"
2022-06-02,198.86,"META"
2022-06-01,188.64,"META"
2022-05-31,193.64,"META"
2022-05-27,195.13,"META"
2022-05-26,191.63,"META"
2022-05-25,183.83,"META"
2022-05-24,181.28,"META"
2022-05-23,196.23,"META"
2022-05-20,193.54,"META"
2022-05-19,191.29,"META"
2022-05-18,192.24,"META"
2022-05-17,202.62,"META"
2022-05-16,200.04,"META"
2022-05-13,198.62,"META"
2022-05-12,191.24,"META"
2022-05-11,188.74,"META"
2022-05-10,197.65,"META"
2022-05-09,196.21,"META"
2022-05-06,203.77,"META"
2022-05-05,208.28,"META"
2022-05-04,223.41,"META"
2022-05-03,212.03,"META"
2022-05-02,211.13,"META"
2022-04-29,200.47,"META"
2022-04-28,205.73,"META"
2022-04-27,174.95,"META"
2022-04-26,180.95,"META"
2022-04-25,186.99,"META"
2022-04-22,184.11,"META"
2022-04-21,188.07,"META"
2022-04-20,200.42,"META"
2022-04-19,217.31,"META"
2022-04-18,210.77,"META"
2022-04-14,210.18,"META"
2022-04-13,214.99,"META"
2022-04-12,214.14,"META"
2022-04-11,216.46,"META"
2022-04-08,222.33,"META"
2022-04-07,222.95,"META"
2022-04-06,223.3,"META"
2022-04-05,231.84,"META"
2022-04-04,233.89,"META"
2022-04-01,224.85,"META"
2022-03-31,222.36,"META"
2022-03-30,227.85,"META"
2022-03-29,229.86,"META"
2022-03-28,223.59,"META"
2022-03-25,221.82,"META"
2022-03-24,219.57,"META"
2022-03-23,213.46,"META"
2022-03-22,216.65,"META"
2022-03-21,211.49,"META"
2022-03-18,216.49,"META"
2022-03-17,207.84,"META"
2022-03-16,203.63,"META"
2022-03-15,192.03,"META"
2022-03-14,186.63,"META"
2022-03-11,187.61,"META"
2022-03-10,195.21,"META"
2022-03-09,198.5,"META"
2022-03-08,190.29,"META"
2022-03-07,187.47,"META"
2022-03-04,200.06,"META"
2022-03-03,202.97,"META"
2022-03-02,208.11,"META"
2022-03-01,203.49,"META"
2022-02-28,211.03,"META"
2022-02-25,210.48,"META"
2022-02-24,207.6,"META"
2022-02-23,198.45,"META"
2022-02-22,202.08,"META"
2022-02-18,206.16,"META"
2022-02-17,207.71,"META"
2022-02-16,216.54,"META"
2022-02-15,221,"META"
2022-02-14,217.7,"META"
2022-02-11,219.55,"META"
2022-02-10,228.07,"META"
2022-02-09,232,"META"
2022-02-08,220.18,"META"
2022-02-07,224.91,"META"
2022-02-04,237.09,"META"
2022-02-03,237.76,"META"
2022-02-02,323,"META"
2022-02-01,319,"META"
2022-01-31,313.26,"META"
2022-01-28,301.71,"META"
2022-01-27,294.64,"META"
2022-01-26,294.63,"META"
2022-01-25,300.15,"META"
2022-01-24,308.71,"META"
2022-01-21,303.17,"META"
2022-01-20,316.56,"META"
2022-01-19,319.59,"META"
2022-01-18,318.15,"META"
2022-01-14,331.9,"META"
2022-01-13,326.48,"META"
2022-01-12,333.26,"META"
2022-01-11,334.37,"META"
2022-01-10,328.07,"META"
2022-01-07,331.79,"META"
2022-01-06,332.46,"META"
2022-01-05,324.17,"META"
2022-01-04,336.53,"META"
2022-01-03,338.54,"META"
2021-12-31,336.35,"META"
2021-12-30,344.36,"META"
2021-12-29,342.94,"META"
2021-12-28,346.22,"META"
2021-12-27,346.18,"META"
2021-12-23,335.24,"META"
2021-12-22,330.45,"META"
2021-12-21,334.2,"META"
2021-12-20,325.45,"META"
2021-12-17,333.79,"META"
2021-12-16,334.9,"META"
2021-12-15,341.66,"META"
2021-12-14,333.74,"META"
2021-12-13,334.49,"META"
2021-12-10,329.75,"META"
2021-12-09,329.82,"META"
2021-12-08,330.56,"META"
2021-12-07,322.81,"META"
2021-12-06,317.87,"META"
2021-12-03,306.84,"META"
2021-12-02,310.39,"META"
2021-12-01,310.6,"META"
2021-11-30,324.46,"META"
2021-11-29,338.03,"META"
2021-11-26,333.12,"META"
2021-11-24,341.06,"META"
2021-11-23,337.25,"META"
2021-11-22,341.01,"META"
2021-11-19,345.3,"META"
2021-11-18,338.69,"META"
2021-11-17,340.77,"META"
2021-11-16,342.96,"META"
2021-11-15,347.56,"META"
2021-11-12,340.89,"META"
2021-11-11,327.74,"META"
2021-11-10,327.64,"META"
2021-11-09,335.37,"META"
2021-11-08,338.62,"META"
2021-11-05,341.13,"META"
2021-11-04,335.85,"META"
2021-11-03,331.62,"META"
2021-11-02,328.08,"META"
2021-11-01,329.98,"META"
2021-10-29,323.57,"META"
2021-10-28,316.92,"META"
2021-10-27,312.22,"META"
2021-10-26,315.81,"META"
2021-10-25,328.69,"META"
2021-10-22,324.61,"META"
2021-10-21,341.88,"META"
2021-10-20,340.78,"META"
2021-10-19,339.99,"META"
2021-10-18,335.34,"META"
2021-10-15,324.76,"META"
2021-10-14,328.53,"META"
2021-10-13,324.54,"META"
2021-10-12,323.77,"META"
2021-10-11,325.45,"META"
2021-10-08,330.05,"META"
2021-10-07,329.22,"META"
2021-10-06,333.64,"META"
2021-10-05,332.96,"META"
2021-10-04,326.23,"META"
2021-10-01,343.01,"META"
2021-09-30,339.39,"META"
2021-09-29,339.61,"META"
2021-09-28,340.65,"META"
2021-09-27,353.58,"META"
2021-09-24,352.96,"META"
2021-09-23,345.96,"META"
2021-09-22,343.21,"META"
2021-09-21,357.48,"META"
2021-09-20,355.7,"META"
2021-09-17,364.72,"META"
2021-09-16,373.06,"META"
2021-09-15,373.92,"META"
2021-09-14,376.53,"META"
2021-09-13,376.51,"META"
2021-09-10,378.69,"META"
2021-09-09,378,"META"
2021-09-08,377.57,"META"
2021-09-07,382.18,"META"
2021-09-03,376.26,"META"
2021-09-02,375.28,"META"
2021-09-01,382.05,"META"
2021-08-31,379.38,"META"
2021-08-30,380.66,"META"
2021-08-27,372.63,"META"
2021-08-26,364.38,"META"
2021-08-25,368.39,"META"
2021-08-24,365.51,"META"
2021-08-23,363.35,"META"
2021-08-20,359.37,"META"
2021-08-19,355.12,"META"
2021-08-18,355.45,"META"
2021-08-17,358.45,"META"
2021-08-16,366.56,"META"
2021-08-13,363.18,"META"
2021-08-12,362.65,"META"
2021-08-11,359.96,"META"
2021-08-10,361.13,"META"
2021-08-09,361.61,"META"
2021-08-06,363.51,"META"
2021-08-05,362.97,"META"
2021-08-04,358.92,"META"
2021-08-03,351.24,"META"
2021-08-02,351.95,"META"
2021-07-30,356.3,"META"
2021-07-29,358.32,"META"
2021-07-28,373.28,"META"
2021-07-27,367.81,"META"
2021-07-26,372.46,"META"
2021-07-23,369.79,"META"
2021-07-22,351.19,"META"
2021-07-21,346.23,"META"
2021-07-20,341.66,"META"
2021-07-19,336.95,"META"
2021-07-16,341.16,"META"
2021-07-15,344.46,"META"
2021-07-14,347.63,"META"
2021-07-13,352.09,"META"
2021-07-12,353.16,"META"
2021-07-09,350.42,"META"
2021-07-08,345.65,"META"
2021-07-07,350.49,"META"
2021-07-06,352.78,"META"
2021-07-02,354.7,"META"
2021-07-01,354.39,"META"
2021-06-30,347.71,"META"
2021-06-29,351.89,"META"
2021-06-28,355.64,"META"
2021-06-25,341.37,"META"
2021-06-24,343.18,"META"
2021-06-23,340.59,"META"
2021-06-22,339.03,"META"
2021-06-21,332.29,"META"
2021-06-18,329.66,"META"
2021-06-17,336.51,"META"
2021-06-16,331.08,"META"
2021-06-15,336.75,"META"
2021-06-14,336.77,"META"
2021-06-11,331.26,"META"
2021-06-10,332.46,"META"
2021-06-09,330.25,"META"
2021-06-08,333.68,"META"
2021-06-07,336.58,"META"
2021-06-04,330.35,"META"
2021-06-03,326.04,"META"
2021-06-02,329.15,"META"
2021-06-01,329.13,"META"
2021-05-28,328.73,"META"
